feature,importance,rank
humidity_sq,0.08380188516509907,1
humidity,0.07748748375196715,2
log_rainfall,0.07070641191001313,3
rainfall,0.06617363012734673,4
rainfall_sq,0.06040151583424034,5
K,0.05968295620223112,6
rainfall_humidity,0.05718382752269265,7
log_K,0.05483057416951019,8
P,0.04507499410876401,9
temp_humidity_index,0.04144316519989423,10
log_P,0.04036342434143365,11
ph_K_interaction,0.03684438860384306,12
NPK_sum,0.035103144863935655,13
temp_rainfall_ratio,0.03179152070206675,14
log_N,0.03162980402539504,15
P_K_ratio,0.02541351458217567,16
N,0.023997630754589296,17
NPK_product,0.022387486906265557,18
ph_P_interaction,0.022190126183811776,19
N_K_ratio,0.022177724838019948,20
log_NPK_product,0.01880346575149202,21
ph_N_interaction,0.018719788329278914,22
N_P_ratio,0.013642860048628367,23
temperature,0.013582078374005938,24
temperature_sq,0.012070118474489537,25
ph_sq,0.00802251488643003,26
ph,0.0064739643423802375,27
